  4.395228770749e+002  3.672518717275e+002  1.239129736821e+002  1.794990126691e+002  3.151317224176e+002  8.516410894526e+002  4.257102211538e+003  7.603104340383e+001  1.934663408822e+003  4.975888332633e+002  3.442131489955e+003  4.409905992247e+003  1.724974409928e+003  1.178555883576e+003  5.606192025895e+002  2.889303022371e+002  1.048646615677e+003  6.928269409322e+002  7.510596039924e+002
  1.686018409455e+003  1.046275534924e+002  1.235647646573e+002  1.922643813616e+002  8.289531510456e+002  4.564744219559e+002  1.151615692815e+002  6.759049414196e+001  2.498662610341e+002  1.507691927447e+002  2.781060041820e+002  1.277245673012e+002  1.979100225144e+002  1.688019077799e+002  2.293192272377e+002  4.932748164545e+002  7.474232397367e+002  7.997277170018e+002  5.457784289501e+002
  2.784756954357e+002  2.311439028625e+002  1.754271456935e+002  1.527747312806e+002  1.597133489166e+002  8.181958984982e+001  5.067181506250e+001  9.586369661506e+001  8.149452336118e+001  9.644767798368e+001  1.023178291065e+002  8.500503533490e+001  4.792502251702e+001  5.538142946681e+001  3.226223160151e+001  3.415307400635e+001  4.909275859726e+001  4.559449441907e+001  4.274536031726e+001
  1.483264506886e+002  1.207003327789e+002  1.127714264619e+002  1.057941194755e+002  4.536497885579e+001  1.128249626115e+002  7.787210446805e+001  7.606016611724e+001  1.625708555488e+002  1.780104143816e+002  7.427804901433e+001  1.357110977522e+002  2.270156392646e+002  1.783223523899e+002  1.956479151887e+002  3.719386320573e+002  1.402498024838e+002  4.467003198016e+002  3.401631513227e+002
  3.532554003743e+003  7.282475717600e+004  2.573944722786e+003  2.219487004494e+003  8.185152271538e+004  8.717110149308e+003  7.786670093952e+004  1.269897375487e+004  3.361038869580e+003  9.250553287983e+003  1.470821670957e+003  3.193339275719e+004  7.700347609925e+003  4.139122451702e+004  3.917171088675e+004  2.202493089791e+004  7.492031480819e+003  1.088431588654e+005  1.336266305887e+005
  1.897651943220e+002  1.247389220243e+002  6.814467248797e+001  1.931937073923e+002  9.750862383534e+001  7.704934553045e+001  7.085472003064e+001  4.703139586787e+001  8.339306831519e+001  6.128629823924e+001  9.397930542025e+001  7.261299056639e+001  6.372133536346e+001  9.294523258180e+001  1.305589751551e+002  1.279335058699e+002  5.619085006800e+001  5.100915142760e+001  7.790635160333e+001
  1.805761984748e+002  6.594163238256e+002  4.949768178429e+003  2.046969057792e+003  4.187223053272e+003  4.213664675458e+002  1.089108976519e+003  5.634638022372e+002  1.106853841843e+003  3.224998368048e+002  4.133066294607e+003  3.127089088407e+003  3.216821558214e+004  8.393878510726e+002  1.055176999995e+004  5.700211480936e+004  6.283862815715e+003  1.264434652647e+005  6.431429671764e+004
  3.217564857154e+002  3.140698373106e+002  3.999299886722e+002  2.798181679413e+002  1.198600744480e+003  3.292250812570e+003  6.375677767333e+003  1.817330783246e+003  5.840216204708e+003  4.968519987822e+004  1.025480628953e+003  1.494639825056e+003  1.829266701986e+004  3.618483196175e+002  1.340684172662e+003  3.013206622124e+003  4.986927545475e+004  9.484859950842e+003  5.350793888725e+004
  2.201052283496e+002  1.583396756484e+002  2.126581581949e+002  2.050654330746e+002  7.621089636333e+002  2.642218339704e+002  4.136702157644e+002  9.202559794120e+002  8.853334883759e+001  4.291523353015e+002  5.335761750513e+002  2.747311206609e+002  1.032431090762e+003  2.371813395100e+003  2.237428555327e+002  2.406744776311e+003  8.514207524344e+002  2.731069736706e+002  6.271914301542e+002
  3.996305270474e+002  8.464561306102e+001  7.021806953811e+001  2.317301776699e+002  1.934329264470e+002  1.020667745927e+002  1.691592675901e+002  8.437295433707e+001  2.849985020229e+002  2.827176771149e+002  1.419010315716e+002  3.005056245193e+002  5.111655568408e+002  1.480274337260e+002  3.028048927932e+002  2.363976739087e+002  2.580492889823e+002  1.026926576434e+002  3.769285040693e+002
